date,sample_de,pfba,pf_pe_a,pf_hx_a,pf_hp_a,pfoa,pfna,pfda,pf_un_da,pf_do_da,pf_tr_da,pf_te_da,pfbs,pf_pe_s,pf_hx_s,pf_hp_s,pfos,pfns,pfds,x4_2_fts,x6_2_fts,x8_2_fts,pfosa,n_me_fosaa,n_et_fosaa,hfpo_da2_gen_x_frd_903,adona,x9cl_pf3ons,x11cl_pf3o_ud_s,n_me_fosa,n_et_fosa,n_me_fose,n_et_fose
2022-07-11T00:00:00Z,Donau Budapest Nord,3.5,3.5,3.07,1.36,2.2,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.09,1e-4,0.37,1e-4,1.02,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.79,5.89,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-07-12T08:45:00Z,Isar,5.45,5.45,5.5,1.32,3.89,2.47,1e-4,1e-4,1e-4,1e-4,1e-4,1.94,1e-4,0.76,1e-4,2.44,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-07-18T08:55:00Z,Traun,1.53,1.65,1.75,1e-4,1.4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.7,1e-4,0.3,1e-4,0.55,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.2,NA,1e-4,1e-4,1e-4,1e-4,1e-4
2022-07-18T09:35:00Z,Alz,286,418,157.6,12.4,164,13.1,1.95,8.85,1e-4,1e-4,1e-4,3.1,1e-4,0.43,1e-4,1.4,1e-4,1e-4,1e-4,0.29,1e-4,1e-4,1e-4,1e-4,45.5,4246,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-07-18T11:45:00Z,Inn,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,NA,0.3,1e-4,0.2,1e-4,0.39,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-09T09:45:00Z,Isar,2.49,4.1,4.55,1.1,2.1,0.72,1e-4,1e-4,1e-4,1e-4,1e-4,1.75,1e-4,1.15,1e-4,3.15,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-22T00:00:00Z,Inn,0.86,1e-4,1.2,0.88,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.68,1e-4,1e-4,1e-4,0.71,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-22T00:00:00Z,Alz,153,326,105.6,81,138,3.85,3.81,6.21,1e-4,1e-4,1e-4,3.55,1e-4,0.53,1e-4,2.2,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,42.5,1883.2,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-24T08:30:00Z,Donau Budapest Nord,3.17,6.72,3.1,1.5,3.58,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.79,1e-4,0.51,1e-4,2.04,0.16,0.25,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.86,11.24,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-25T08:00:00Z,Donau Budapest Süd,2.95,5.47,2.67,1.4,2.16,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.92,1e-4,0.43,1e-4,1.22,1e-4,0.24,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,2.63,10.57,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-25T07:30:00Z,Ipoly,6.63,2.13,2.75,2.08,1.79,0.47,1e-4,1e-4,1e-4,1e-4,1e-4,2.08,1e-4,0.94,1e-4,25.81,1e-4,0.25,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.18,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-08-30T13:30:00Z,Traun,0.61,1.06,1.08,0.52,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.51,1e-4,0.24,1e-4,0.52,1e-4,0.2,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-09-19T11:30:00Z,Inn,0.71,1e-4,47,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.25,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-09-19T10:50:00Z,Alz,159,429.6,106.4,59.33,86.4,3.13,2.4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.39,1e-4,0.58,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,32,2642,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
